i,j,vx,vy
10,111,-0.0256525,-0.0872786
134,79,0.0500071,0.0462986
142,126,-0.0254626,0.0760237
18,119,-0.0399642,0.000925202
55,162,0.0258909,0.04776
1,25,-0.0587692,-0.0231795
149,-1,-0.0212839,-0.02154
27,194,0.0110813,-0.0282043
207,173,-0.042422,0.0421635
105,205,0.0783962,-0.00710061
144,92,0.0235704,-0.027823
150,144,0.0261826,-0.024335
118,22,-0.0705703,-0.0511253
8,69,-0.0406851,0.039483
129,159,-0.0673454,0.0023577
176,167,-0.0381481,-0.0969614
120,104,-0.0865933,0.0270698
5,96,-0.0646798,0.0057457
2,126,-0.0627563,-0.0867258
60,93,-0.0667307,0.0411679
115,66,0.082004,-0.0593055
127,112,-0.140912,-0.0206753
104,184,0.056508,0.00210753
214,82,0.0106055,-0.0248057
156,122,0.0247717,0.0136456
193,36,0.00852812,-0.0874939
168,106,0.03227,0.0886847
157,76,-0.0614869,-0.05253
126,33,-0.0206979,0.0471353
59,139,0.0779705,-0.0303499
206,59,-0.00768732,0.0413891
102,122,-0.016116,-0.0398639
22,37,-0.0149108,-0.124559
49,1,-0.0907975,-0.000661694
82,187,-0.117413,-0.0951791
20,112,-0.1051,0.0500717
173,153,-0.0272762,0.0169036
83,175,-0.0504222,-0.0153162
196,205,-0.0149441,-0.0190762
77,-1,-0.0184766,0.00219549
221,187,0.029157,-0.0522392
110,39,0.0206952,0.0598485
114,93,-0.0232912,-0.0444867
68,179,0.088578,0.0560836
55,119,0.0474245,-0.0384149
133,209,-0.0418343,-0.0755448
199,10,0.00326425,-0.0630779
100,38,-0.0372632,-0.00495659
56,164,0.0296556,-0.0113507
4,169,0.0114731,-0.0410194
158,139,0.0417984,0.128216
12,141,-0.0286217,-0.0601606
68,90,0.0534873,-0.120928
34,82,0.00336195,0.0200424
30,186,0.0116358,-0.0352314
86,106,-0.06007,-0.023123
-1,189,0.0204229,-0.0389275
72,174,-0.0256355,-0.0391396
3,202,0.0290718,0.0427765
164,14,0.022777,0.0586595
171,59,0.0926891,0.0309052
221,138,0.115666,-0.0700073
197,179,-0.063382,-0.067183
104,190,0.031689,0.0371143
19,90,-0.00356196,0.0228884
110,154,0.0240587,0.00889022
175,216,0.000386487,0.0503088
130,23,-0.000105727,0.0300468
100,224,0,0
39,135,-0.0865317,-0.0743354
183,0,-0.0600363,-0.0250845
54,107,0.085716,0.0356596
220,-1,-0.0311431,-0.00951781
36,130,0.00921306,0.104702
78,198,0.0800041,-0.0498553
201,17,-0.0246789,0.0392818
171,15,0.0276831,-0.0388225
170,87,0.0690516,0.109082
180,154,-0.00783702,-0.0131272
47,206,-0.00959494,0.125679
164,68,0.120979,-0.123599
139,121,-0.0554905,-0.0120688
7,14,-0.0219651,-0.0612554
90,79,-0.0199285,0.0167644
220,207,-0.0385421,-0.109757
116,131,-0.041814,-0.0320779
121,48,0.00561108,-0.0324686
140,186,-0.0143275,0.0174137
137,98,-0.0831623,0.0127111
214,44,-0.0713489,-0.0117328
14,176,0.0350848,-0.0247846
158,43,-0.0573992,0.00906928
83,138,0.0365225,0.0212322
54,152,0.00407373,0.0300607
14,127,0.0604546,0.0107131
177,105,0.00888199,0.0149161
147,63,-0.0248113,0.00711445
18,146,0.135831,0.0228841
77,43,-0.0674079,-0.00814841
126,15,-0.00209029,0.0170726
61,95,0.00354523,-0.0319555
162,46,-0.0104668,0.0655557
190,167,0.0707372,-0.00742247
177,224,0,0
28,110,0.093589,0.0330188
46,-1,-0.0172923,0.00531212
111,67,-0.0530385,0.0568988
52,118,0.0350524,0.00991831
25,221,0.0471834,0.00529742
191,110,-0.0732948,-0.016477
76,22,0.0530032,0.0118379
146,152,-0.0244493,-0.089884
165,212,-0.0590453,-0.0878068
15,154,0.0638623,-0.0942171
122,123,-0.0718972,-0.0363409
70,135,0.0380308,-0.128234
42,185,-0.0186919,0.00245547
77,77,0.0297226,-0.071549
184,34,0.0406888,0.149803
56,191,-0.0242447,0.0637446
23,9,0.0436764,-0.0665296
179,180,-0.0187203,-0.0172786
189,27,0.0240291,-0.00441017
43,87,0.0432994,0.0045919
143,223,0.135495,0.0385907
145,83,-0.0799031,0.0167546
143,123,-0.0764005,-0.0061271
188,189,-0.112736,-0.083023
14,111,0.0337599,0.0465132
25,170,0.0251347,-0.0482334
161,87,-0.0648441,0.0798948
207,107,-0.0689748,0.024836
4,180,0.0361158,-0.0647782
88,87,-0.0059617,0.0204872
135,9,0.0129565,-0.108062
176,80,0.0576406,0.00665869
133,146,0.00640821,-0.0644047
36,172,0.073036,-0.000904124
97,-1,-0.0378566,0.00717254
118,33,-0.0254181,0.0352951
9,192,-0.00301109,0.0195936
116,3,-0.0216506,-0.0170814
150,103,-0.0250235,-0.0741539
22,120,0.0339943,-0.0116616
217,38,-0.043986,0.00218237
146,216,0.119336,0.0439989
143,222,-0.0354693,0.0660223
197,65,0.0873764,-0.0370086
9,191,0.0630742,0.029684
213,196,-0.0594906,0.0118613
121,30,-0.0270399,0.00906988
-1,46,0.0143427,-0.0408599
133,50,0.00899916,0.0456402
116,4,0.0114041,-0.034468
149,91,-0.0120231,-0.0180523
152,35,0.117362,0.0520452
61,21,-0.0439299,0.0073578
4,134,0.0140404,-0.0934636
130,120,-0.0175379,-0.0702645
57,108,0.00243289,0.0184455
185,156,-0.0569183,0.079805
189,145,-0.0303043,0.0176298
87,147,-0.06349,-0.0129023
25,176,0.0381673,-0.0364361
176,126,0.069468,0.11298
210,92,-0.0108904,-0.0293517
223,186,-0.0177223,0.0164487
118,37,-0.0593822,-0.00749792
147,166,0.0670124,0.0108409
79,146,0.0451697,-0.120688
37,107,0.0696869,-0.0319714
196,-1,-0.0110972,-0.0106162
206,175,0.0924219,-0.067393
98,127,0.040914,-0.00806147
71,73,-0.0113688,-0.00813159
223,131,-0.0113803,0.0822916
186,44,0.010262,-0.124316
51,77,-0.0772743,0.0459823
71,169,-0.0497574,0.00582519
68,78,-0.00585601,0.0660483
68,113,-0.0354504,-0.0449399
61,147,-0.044006,-0.0313814
200,13,-0.00247274,-0.0735066
85,21,0.0330946,-0.0573544
211,0,-0.0209018,-0.0482915
104,170,0.106652,-0.0232306
112,7,0.0634048,-0.021359
49,119,0.0279828,-0.0722427
152,153,0.0177942,0.0199507
96,200,0.0227603,-0.0354339
165,155,-0.023268,-0.0750224
164,173,-0.0659031,0.0467883
158,160,-0.0368547,0.0216009
2,207,-0.0451506,-0.0321782
92,103,-0.0756819,-0.0615545
14,15,0.105715,-0.0435594
215,129,0.0548399,0.0202816
5,127,0.00207347,0.0197292
213,115,0.00137975,-0.0529911
185,223,0.165715,0.0830004
125,28,-0.00993481,-0.0164097
2,35,-0.0361433,-0.0244513
-1,140,-0.0311317,-0.0486275
130,88,-0.0348263,-0.0457312
45,-1,-0.0248728,0.00233548
173,139,0.0220004,-0.0381546
166,88,-0.0216051,0.0740347
155,55,0.0180651,-0.0803729
101,109,0.00366136,-0.022086
161,104,0.0642516,-0.0748092
132,21,-0.015904,-0.0429582
181,41,-0.0522969,-0.0238219
181,192,0.00486151,0.0067864
23,142,0.062415,0.0182152
111,15,-0.0215773,-0.055746
80,26,-0.0754709,0.0109886
149,56,-0.0614419,-0.0462777
153,153,-0.0029363,-0.0293872
22,196,0.0392878,0.0150092
25,4,-0.0429896,-0.0904131
92,151,-0.0389059,0.0168709
14,139,0.0242528,0.00911373
